continuing_examiner,Declarative_Text
"When these cigarettes, denicotinized or very, very low nicotine yielding cigarettes, were poured on the market, did the public health community jump onboard and encourage smokers to switch to one that was going to be better' for them?","No, it was quite the opposite. In fact, I think when Philip Morris came out with their de-nic products in the early, early 90's, Campaign For Tobacco-Free Kids, Matt Myers -- or he may not have been with them at that point -- but, Matt Myers came out and basically proclaimed that would be one of the most dangerous cigarettes on the whole market that's ever been made. So the public health community has a very unusual way of changing its mind over time and how it views thing. And certainly, denicotinized cigarettes are no different than a variety of the other things 2015 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 o O) Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING that we have talked about here today."
"And getting back to the FDA for a moment, does the FDA have the authority to adopt a product standard and set a level for nicotine in the cigarettes?",They do.
Have they done that yet?,"It just can't be zero, but they have not done that. Q, Doctor, do you want to keep going or do you want to take a break for a minute? Everybody okay?"
"' j \ letterhead on it anywhere? | No, that's -- No, it does not, nor does it have an I RDM number or memorandum number or anything, I Looking back at historical Reynolds documents, you've l seen documents from this timeframe, the 60's and j 70's, haven't you, sir? Oh, sure, \ Reynolds memos and other things, had letterheads on them, RJR letterheads? \ Absolutely. j You mentioned RDM and RDR, what are those? \ RDM is a research RD memo, RDR is a research report, \ just the acronym for memorandum and reports that - -> *> <f .;,- would go to the library for completion of projects j :j and things like that. Those are the rules I was , talking about that Colby laid out in the, I guess, | late 50's, as I recall, on how you construct a research library and how things should be iftajrked and things like that. [ And I guess as part of that formal structure, formal research development reports, RDR's, and formal research department memorandums, RDM's, copies of those would be provided to the Reynolds library? Do you see anywhere on here that this indicates it is 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING Pagc276 an RDR or an RDM? No, it is not indicated anywhere that that's what that would be. I may be stretching your memory a bit, but do you remember what the format of RDR's and RDM's in terms of what it looked like on the first page and any designations that would indicate what they were? Yeah, you had a specific, almost like a formula on how you would lay it out. You would have,your RDR or RDM number, you had a project number, you had an author, you had a title of what the project was, so yeah, it was formulaic in terms of how these reports were issued to the library. For RDM's and RDR's, was there an approval system and an area of the document that had an approval by the person's manager before it would be submitted to the library? There was, yes. Do you see whether there is any approval line or any signature by Dr. league's supervisor or manager approving this memo? There is not. Let's talk about some of the designs here that are reflected, I guess, on page 17. You were asked some questions -- I'll do it in order. You were asked 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING about this clean chewing tobacco and asked if that's Snus. Remind us how long has Snus as a tobacco product been in existence?",A couple of hundred years.
Who was the first U.S. tobacco company to bring Snus to the U.S. market?,"Modern Snus, it would be either R.J. Reynolds or you might say it was Swedish Match, but that's hard to know, I think Swedish Match was -- that was Swedish Snus in the U.S. market."
"Among the major cigarette manufacturers, Philip Morris, Lorillard when they were separate at the time, and others, who was the first cigarette manufacturer to bring Snus to the U.S. market?",Reynolds.
Why did Reynolds bring Snus to the U.S. market; what was the reasoning?,"Because of the lower risk potential for Snus and it was known that Swedish style Snus had accomplished quite a bit in Sweden in terms of lung cancer rates among men, lowest lung cancer rates in all of Europe, largely attributable to the fact that most men in Sweden had switched from using cigarettes to using Snus."
"Was Snus introduced -- developed and introduced by 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING 'i Pagc278 | Reynolds as part of its migration strategy? Yes. xou were iiexx asKeci aooux in jjuiiex poirix xwo, xnis transitional tobacco and asked some questions about what is an e-cigarette. I'm not going to rehash this, but let me ask you this question though. The ii technology that is in VUSE today, was that technology available in the 1960's? No. Things like a lithium-ion battery and a microprocessor and having the ability to communicate l back and forth, did that technology exist in the | 60's? No. That's enough on that one. You were asked some questions about document retention and you made the point that it wouldn't surprise you if Reynolds had destroyed documents. To be candid with you, doctor, that sounds sinister. Did Reynolds have some document destruction program where they were destroying sensitive documents or troublesome VuA \-/ vs U> ill v/ AIL* O m No, not that I've seen. You talked about formal reports. RDR's and RDM's, and those were provided to the library. Were there 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 205-397-2397 oo Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING I\ protections in place to keep copies of those documents? | There were, yeah, and we still retain that whole library. If you went down to the R&D library today, could you ask for a copy of some RDM from the 1950's? You can, yes, and we routinely do. You were asked some questions about the depository in Minnesota and can you quantify for us, to the best of \ your memory, either the number of documents or number of pages that Reynolds has produced from its own files to the depository? They're -- I can't remember the exact number, but there are several million documents that have been -- i just from Reynolds that have been put into the | repository, which consists of tens of millions of | pages, so there is a lot of documents that are in the depository. In addition to being in the depository -- who can access the depository? Anybody. In addition to the repository, are Reynolds documents that it's produced in litigation, millions of j documents, tens of millions of pages, are they also | available online? 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 m Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING They are. Who has access to those documents? Anybody who wishes it. It's open to the public. Is there a search engine or an ability to identify documents? There is, yes. What are some of the fields if you want to find Claude Teague's '69 document? You could go -- there's an author field, there's a subject field, so a number of fields you can use to help search and narrow down. And the depository and the internet website came about as part -- I believe you testified as part of the master settlement agreement? Correct. Was that agreement forced upon Reynolds or was that a voluntary? Well, it's a voluntary agreement, right? I mean, it's an agreement between two parties. Negotiations occurred and terms were met. Going back to the document and document destruction issue, did -- and I believe you invited Mr. Gale to do this, but did he show you any documents with respect to allegations of document destruction so you could comment or give your opinion on that? 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 ^ Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING o No, he d id n o t . The gentleman's agreement, you were asked some questions about the gentleman's agreement and I believe you said, testified, that your awareness of that comes from being asked questions by plaintiff's lawyers in situations like this? Correct, yes. Did Mr, Gale show you any documents that talked about something called a gentleman's agreement? I did not see any. Remind us of what your understanding of what this alleged gentleman's agreement would be, or what it prohibited or what the companies agreed to? In theory, from my understanding, as its' been explained to me, is no biological research would occur on cigarettes or health related research around cigarettes. And, as I explained, if there was such an agreement, R.J. Reynolds broke it probably from day one, because they were doing biological research from the 60's to today. And you provided Mr. Gale a reliance list. Do you know if that reliance list contains Reynolds' research on biological research going back to the 60?s and forward up to more recent times, including biological research with animals, biological research 3RD AVENUE NORTH-BIRMINGHAM, AL 35203 -205-397-2397 g CM k / Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING .10",. Jri .
"Again, doctor, if I'm stretching your memory, tell me, but if you recall this information, please do so. Do you know in this time, January of '54, if there were distinguished authorities outside of the tobacco companies who were pointing out that it hadn't been proven that cigarette smoking was one of the causes?","Oh, yeah. I mean, the NCI did not agree. The NCI didn't believe that it was one of the causes at that time. There was a number of distinguished authorities that questioned whether or not the statics were enough to establish that and many outright said it wasn't possible."
"Number one under this distinguished authorities point out -- we were reading number three, but number one says that medical research of recent years indicates many possible causes of lung cancer. Was that an accurate statement at the time, in January of '54?","Oh, it was at the time and it is today as well."
"Number two, there is no agreement among the authorities regarding what the cause is; was that an 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 m Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING i\ j \ accurate true statement in January of '54? ] Absolutely, it was. You were asked some questions about people's health being'a' basic responsibility and paramount concern? Uh-huh. j And I believe you testified that you thought Reynolds had kept public health as a concern and I just want to follow you on some of that stuff. We talked a lot about modifications that had been done to cigarettes, general reduction, filters, reconstituted tobacco, j etcetera. Was Reynolds R&D into the implementation of those kinds of things? How does that relate to j the maintaining the interest of public health? I think it's a direct correlation. I think you told us that the epidemiology again suggests to you that there -- that filtered cigarettes carry less risk than non filtered. So if j Reynolds didn't have concern about public health and cigarettes were just like they were, non filtered, in the 50's, would we have seen this reduction in risk for consumers if they never existed? Obviously not. j We talked earlier about the industry involving the \ National Cancer Institute and Tobacco Working Group. How does that align, if at all, with Reynolds' 2015 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 O Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING Page 290 I interest in public health?","I think, to me, it fits in consistently with what their -- Reynolds' operating premise was. And the operating premise, simply put, was if there are -- the operating premise was even if you can't fully establish that smoking is a direct cause, that you can't make a causal connection, if there are things in smoke that are of concern, it would be best to minimize them. Certainly, that operating premise was executed by Reynolds scientists and by their product development efforts over the next 60 years."
"We'll come back to that in a second, but with respect to Reynolds' participation in the NCI Tobacco Working Group, was that voluntary? Did Reynolds have to participate in that program?","No, they were asked if they would like to participate and they agreed Reynolds agreed."
"Then with respect to implementing the operating premise, let me ask you this question: Did Reynolds' position on whether smoking was proven to be a causative disease get in the way whatsoever with the research that it conducted trying to address the criticisms that were being levered against the product?","No, that research continued. 4lvlWKI!TO?|!ff!i^ 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING H jrl < r\ * r\ . I\ t Page 291 j And was that good faith research pursued on a daily basis at Reynolds and the other companies from the 50's forward? | Yeah, as far as I'm concerned or I know of, yes. j How many -- Ballpark estimate, how many scientists \ i does Reynolds and Brown .& Williams and Lorillard j employ in it's research and development departments j since the 50's? \ I mean, thousands of scientists have been employed. j How many dollars could you approximate place on -- | Billions of dollars has been spent on research, both \ internally and externally, on harm reduction type \ jTSSGuJiCn. J; In your view, how does that align, if at all, with the statement about keeping public health concerns? I think it's in alignment. \ Let's talk about Council for Tobacco Research. You mentioned earlier that was a funding organization that funded research? Correct. And the funds for that research came from the cigarette manufacturers? They did. j Do you have in mind, doctor -- Again, I know it's been a while since you've looked at this issue, but 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 205-397-2397 00 o CO en Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING o c A, A do you recall how many millions of dollars the industry committed to research, Council for Tobacco research? I want to say it was hundreds of millions of dollars spent and it went to a variety of different prestigious organizations. You had Nobel Laureates that received money from CTR. So it was a fine -- In. my opinion, it was a fine grant and aid foundation. DO your recollection is certainly, in excess or $100 million? I would say so, certainly. Did that research result in peer reviewed publications? Hundreds of them, yes. Do you know if some portion of those peer reviewed publications were sited in surgeon general's reports over time? j txllLCJ W t** 1* \C* / y \C* O / \X **J C3 ^r ** \JL %* W* JL y Do you know if the research that CTR was funding at times was co-funded by the National Cancer Institute, American Cancer Society and other government and public health agencies? As I recall, that occurred as well. And I believe you told us that -- did the research that was funded, was this conducted at prestigious 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 g O t i Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING"
Have there been times that R.J. Reynolds has not cooperated with the public health community?,"I don't know about cooperated. I think we had differences of opinions. Certainly, we have funded l an awful lot of public health community research, certainly we participated in.NCI-TWG, so I -- Having a scientific disagreement is not a demonstration of being uncooperative in my opinion."
"But, if the public health community asked R.J, Reynolds for its research and reports on smoking health in the 60 fs, did R.J. Reynolds provide that in a useable fashion to the public health community?",.
"If you would have authenticated documents in the Duval County depo, that would still be applicable today, correct?",Yes.
That's all the questions I have.,
"Dr. Figler, just a couple of follow ups on what you were just asked about, then we'll get you out of here. You were asked about advertising for lights, low tar type cigarettes. Have you ever been shown an ad or seen an ad that you recall in which one of the cigarette manufacturers advertised that, in fact, lights or low tar cigarettes were safer?","Not that I know of, no."
"At the time that those cigarettes were being put in the market in the 70's and 80's,.going -forward, what was the public health community saying about whether those cigarettes carried less risk?","The public health community was saying that they did zu carry less rxsK a no. m a t tnose people wno continued to smoke should smoke lower tar cigarettes, including the surgeon general."
"Switching topics, you were asked about the FDA ordering Reynolds to take four cigarette brands off the market. When did that occur? 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 oo Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING",Just this summer.
"What -- As concisely as you can, doctor, what was the basis of the FDA ordering that Reynolds remove those four brands from the market, specifically in relation to whether they made, any assessments about the dangers or addictiveness of those products and the reason to take them off?","They didn't make any assessment about the dangers or addictiveness of the product. They made an assessment about whether the product that we were comparing it to was substantially equivalent. And the products we chose to compare those products to, to grandfathered products, were -- the FDA deemed that they were not substantially equivalent. So, let's really go back to the drawing board and figure out what your predicates ought to be and make better arguments and better -- present better information to the FDA so they can see it the same or similar way as we do. We thought the products were substantial equivalent."
