question,answer,Declarative_Text
So if somebody,"I'm sorry. I'm not I'm not remembering my own history. I've given presentations to various health groups over time. I made a presentation participated in presentations with the -- to Greg Connolly, Massachussets Department of Health. I made presentations to the Arizona Department of Health. I've been present at and participated in a presentation Brown & Williamson made at CDC in Atlanta. More recently I have presented to the FDA in 2011, I think -- or early 2012. So I apologize, I wasn't thinking. I was thinking more like American Chemical Society, which I had done before I was working at Reynolds cn United Reporting, Inc. Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221 Q A Q those the of Health A Q A Q you have Okay. -- and Brown & Williamson. j TPV-ifi y^ypiopkr,i|""oj-""|(^(^| W 1 t"" Vl j~V|Ci 1~l P* r-) 1 t"" }""1 ft f"" (""\ 11 r~) (a W P4 T"" P ones that you listed, Massachussets Department | , Arizona Department of Health and the CDC -- Uh-huh. | and the FDA? Yes. | Any other presentations to health groups that either participated in that you have participated in other than the ones that we iust listed?",
Any -- any other presentations you gave to the i public other than the ones that you just identified for | us?,"I don't think so, no.",
So since starting work at Brown & Williamson into your work at R.J. Reynolds these are the only public presentations that you've given? [,"That I can think of, yes. |",
You've given internal presentations in which j employees of the companies that you've worked for were \ present for? \,Correct.,
Okay. Those are not public presentations? j,They are not. \,
And then you said that you had given some presentations prior to working at Brown & Williamson? j,"Yeah, I had gave a poster at the American j Chemical Society meeting in '98 or '99 in Anaheim when I j was a postdoc.",
What was that about? j,"It was research I was doing as a National Zt*J OL^Xv^ilL^v^ I!^UXiUlclL>XvJIi^ p U S ta GL O L* XII JvXIICLXC.tji* i o United Reporting, Inc. Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221 Kinstics^ >l",
Anything to do with cigarettes or smoking or \ health risks?,"No. Science presentation, science poster.",
Any presentations that you have given that relate to cigarettes or any health risks related to cigarettes outside of the company where the public was able to participate in or be present for other than the ones that you've told me that we just listed a few minutes ago? \,"No, not that I'm aware of. And I would I j would add, it's not like there was a lot of public at \ any of the presentations that I gave - that I listed to you either. There wasn't -- it wasn't like an open j forum, per se. \",
"Okay. Do you have the presentations that you gave for any of these the ones that you listed, | Massachussets Department of Health, Arizona Department j of Health, CDC in Atlanta, the FDA in either 2011 or '12, or the National Association of Attorney Generals in \ either 2001 or '02? j","The FDA one I'm pretty sure I could -- I could \ find relatively easily. The others would take some j difficulty, but I think we probably could dig them up. Q O GO United Reporting, Inc. Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221",
"You actually came prepared with -- you didn't z ]USL speaK oil tne CUII in tnose presentations, correct,.","Not in -- no. I would say no. In Arizona, it was very limited. It was almost off the cuff, but, no. FDA, no, we had a I had a presentation that I made that was presented and it was formal.",
Okay.,"I mean, the others, I think I think they exist and we can find them, I just haven't looked at them in a long time.",
Okay. Did any of the -- in any of those presentations did the subject matter of whether or not cigarettes were proven to cause lung cancer and other rX * \-i JL w v CX O \ O # \*X JL VM4> L* 1 LQL. L* O* L4. *-y I w L*- L* s-r \~/ILLK Ul KJ JL 1 1 C X I I y U -i L* 1 1 \ J O \Z* presentations from you?,"I mean I don't know that it did or not. I mean, I think that was certainly what the company's position was at the time, so it was really all around how can -- what types of designs and what kinds of technologies could be utilized to reduce the harm associated with cigarettes. So I guess it comes up in that sense because that's what was the basic premise already in going into those presentations.",
"Is it your testimony that R.J. Reynolds had K taken the definitive public position in 2000 or 2001, as | en \ Q United Reporting, Inc. Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221 Page 46 j early as those dates, that cigarette smoking was the \ cause of lung cancer and other diseases, that's your j testimony?","It is - it was a - it's certainly a cause. It's obviously not the only cause of lung cancer, but J*. L- *D> w t- JL L* Ct JL i 1 JL V Gt >-f OL Ul iO w \J JL JL LI 11 L-j w CX11 k^ w JL *",
But it's your testimony that R.J. Reynolds \ h a d ^ w a s definitively stating publicly that cigarette smoking was proven to be a cause of lung cancer and other fatal diseases? I,"I believe that's the case, yes. \",
Okay. Have you ever -- have you read Dr. Gentry's testimony in the Kaplan case?,"Not that I'm aware of, no. \",
Do you know if do you know if he testified that the company had not taken that definitive position j until approximately 2004? |,No. |,
Would you disagree with him if that was his f testimony?,"Would I disagree with him? I don't -- I don't j know that I would, but... I",
"Would you defer to him on whether or not the company had definitively stated that cigarette smoking was the cause of lung cancer in the 2004 time frame? j en o United Reporting, Inc. ** Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221 * -HS","I don't know that I would disagree with him | and, again, you keep saying ""the cause of lung cancer,"" it is not the cause of lung cancer, it is a cause of [ lung cancer. So I don't know that I would disagree with ( him, I just know that what the company certainly what j Brown & Williamson was saying at that period in time was j pretty clear. J All the companies had a different set of words j that they used around -- cause-and-effeet relationships, in my opinion and my understanding of what those l positions were, that they were fairly clear. So that's -- that's what my opinion would be. j",
"Okay. And it's your testimony that as of -- [ well, first of all, let's establish what year are you j talking about that R.J. Reynolds was, quote/unquote, pretty clear? j","Right around the 2000 time frame, in my j opinion.",
"Okay. So just so I understand your testimony, j it's your testimony that in the 2000 -- not earlier than \ 2000, we're talking about post 2000, correct?","2000, that's right.",
"Okay. So in the 2000 time frame, post, obviously, 2000, it's your testimony that R.J. Reynolds Tobacco Company was -- had taken the public position j United Reporting, Inc. O Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221 that there was nroof sufficient to establish that cigarette smoking was a cause of lung cancer?","When I -- when I contemplate what their prior to 2004 was more verbose than, say, Brown & Williamson's was, but when I read that as a scientist, I concluded that Reynolds suggested that cigarette smoking Yes, it's a longer statement than what Brown & Williamson had, but it all really, to me, meant the same thing even though I wasn't working there at the time. 13 Q And what is your testimony in the post time frame that the Brown & Williamson Tobacco Company had taken with regards to whether or not cigarette smoking had been sufficiently and scientifically proven to be a cause of lung cancer and other fatal diseases?",
"And in speaking -- and in speaking about ~- strike that, With reference to - well, in the 2000 time i^^BWWBWiWWIMWW^iW^ en United Reporting, Inc. Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221 frame, the American Tobacco Company was no longer an operating company in and of itself, correct?",,
It was part of Brown & Williamson at that time?,l t was.,
"All right. So in terms of Brown & Williamson and R.J. Reynolds, what scientific study came out in the year 2000 that enabled both Brown & Williamson and R.J. Reynolds Tobacco Company to come out publicly and definitively state that cigarette smoking had now been scientifically established to be a cause of lung cancer and other fatal diseases?","I don't know that any specific scientific study drove that decision to to continue to evolve their position on cause and effect. So I don't know that there was a single study or a particular scientific event that occurred that triggered that change in position, but the position had basically changed and 21 evolved over -- over decades. And this was really kind",
